timestamp,room_name,temperature,humidity
2025-10-01 00:00:00,Frozen_Storage_A,-18.94,51.91
2025-10-01 00:00:00,Frozen_Storage_B,-21.34,45.31
2025-10-01 00:00:00,Chilled_Storage_A,2.95,47.95
2025-10-01 00:00:00,Chilled_Storage_B,2.34,75.58
2025-10-01 00:00:00,Dispatch_Bay,11.13,57.34
2025-10-01 00:00:00,Receiving_Zone,7.9,52.04
2025-10-01 00:00:00,Packaging_Section,22.74,62.08
2025-10-01 00:00:00,Maintenance_Room,22.45,45.58
2025-10-01 00:15:00,Frozen_Storage_A,-22.12,63.24
2025-10-01 00:15:00,Frozen_Storage_B,-21.08,67.77
2025-10-01 00:15:00,Chilled_Storage_A,3.94,73.67
2025-10-01 00:15:00,Chilled_Storage_B,2.95,75.35
2025-10-01 00:15:00,Dispatch_Bay,7.56,46.47
2025-10-01 00:15:00,Receiving_Zone,10.28,42.77
2025-10-01 00:15:00,Packaging_Section,23.56,66.49
2025-10-01 00:15:00,Maintenance_Room,17.41,45.82
2025-10-01 00:30:00,Frozen_Storage_A,-24.45,62.99
2025-10-01 00:30:00,Frozen_Storage_B,-21.29,69.49
2025-10-01 00:30:00,Chilled_Storage_A,2.63,52.49
2025-10-01 00:30:00,Chilled_Storage_B,0.39,72.04
2025-10-01 00:30:00,Dispatch_Bay,10.86,68.34
2025-10-01 00:30:00,Receiving_Zone,8.55,45.84
2025-10-01 00:30:00,Packaging_Section,21.61,49.88
2025-10-01 00:30:00,Maintenance_Room,19.7,66.78
2025-10-01 00:45:00,Frozen_Storage_A,-19.77,48.52
2025-10-01 00:45:00,Frozen_Storage_B,-21.32,72.07
2025-10-01 00:45:00,Chilled_Storage_A,2.55,48.09
2025-10-01 00:45:00,Chilled_Storage_B,1.68,54.88
2025-10-01 00:45:00,Dispatch_Bay,10.34,75.86
2025-10-01 00:45:00,Receiving_Zone,6.57,44.39
2025-10-01 00:45:00,Packaging_Section,22.42,40.52
2025-10-01 00:45:00,Maintenance_Room,19.61,56.44
2025-10-01 01:00:00,Frozen_Storage_A,-20.42,48.0
2025-10-01 01:00:00,Frozen_Storage_B,-22.19,55.47
2025-10-01 01:00:00,Chilled_Storage_A,1.2,66.74
2025-10-01 01:00:00,Chilled_Storage_B,2.94,75.91
2025-10-01 01:00:00,Dispatch_Bay,7.91,75.9
2025-10-01 01:00:00,Receiving_Zone,6.26,69.54
2025-10-01 01:00:00,Packaging_Section,19.46,51.24
2025-10-01 01:00:00,Maintenance_Room,20.6,67.06
2025-10-01 01:15:00,Frozen_Storage_A,-21.55,71.52
2025-10-01 01:15:00,Frozen_Storage_B,-19.46,42.11
2025-10-01 01:15:00,Chilled_Storage_A,3.16,45.32
2025-10-01 01:15:00,Chilled_Storage_B,2.53,48.58
2025-10-01 01:15:00,Dispatch_Bay,5.46,68.18
2025-10-01 01:15:00,Receiving_Zone,10.25,64.89
2025-10-01 01:15:00,Packaging_Section,18.97,76.7
2025-10-01 01:15:00,Maintenance_Room,18.58,72.3
2025-10-01 01:30:00,Frozen_Storage_A,-22.78,53.13
2025-10-01 01:30:00,Frozen_Storage_B,-21.4,43.2
2025-10-01 01:30:00,Chilled_Storage_A,4.18,50.82
2025-10-01 01:30:00,Chilled_Storage_B,5.75,47.02
2025-10-01 01:30:00,Dispatch_Bay,6.08,66.65
2025-10-01 01:30:00,Receiving_Zone,9.15,78.16
2025-10-01 01:30:00,Packaging_Section,18.95,63.91
2025-10-01 01:30:00,Maintenance_Room,21.28,52.58
2025-10-01 01:45:00,Frozen_Storage_A,-23.13,58.3
2025-10-01 01:45:00,Frozen_Storage_B,-22.76,78.58
2025-10-01 01:45:00,Chilled_Storage_A,0.14,49.28
2025-10-01 01:45:00,Chilled_Storage_B,1.29,78.79
2025-10-01 01:45:00,Dispatch_Bay,5.21,64.69
2025-10-01 01:45:00,Receiving_Zone,7.38,77.66
2025-10-01 01:45:00,Packaging_Section,19.62,53.69
2025-10-01 01:45:00,Maintenance_Room,24.35,66.74
2025-10-01 02:00:00,Frozen_Storage_A,-21.63,64.52
2025-10-01 02:00:00,Frozen_Storage_B,-21.98,65.56
2025-10-01 02:00:00,Chilled_Storage_A,4.53,68.9
2025-10-01 02:00:00,Chilled_Storage_B,2.45,59.31
2025-10-01 02:00:00,Dispatch_Bay,6.8,61.83
2025-10-01 02:00:00,Receiving_Zone,8.4,58.38
2025-10-01 02:00:00,Packaging_Section,20.19,61.44
2025-10-01 02:00:00,Maintenance_Room,21.02,60.6
2025-10-01 02:15:00,Frozen_Storage_A,-19.08,60.07
2025-10-01 02:15:00,Frozen_Storage_B,-22.37,74.24
2025-10-01 02:15:00,Chilled_Storage_A,1.79,46.15
2025-10-01 02:15:00,Chilled_Storage_B,3.06,65.73
2025-10-01 02:15:00,Dispatch_Bay,7.24,66.01
2025-10-01 02:15:00,Receiving_Zone,4.54,79.75
2025-10-01 02:15:00,Packaging_Section,17.75,53.92
2025-10-01 02:15:00,Maintenance_Room,19.53,65.25
2025-10-01 02:30:00,Frozen_Storage_A,-21.0,79.9
2025-10-01 02:30:00,Frozen_Storage_B,-19.78,59.61
2025-10-01 02:30:00,Chilled_Storage_A,2.43,56.44
2025-10-01 02:30:00,Chilled_Storage_B,2.32,73.7
2025-10-01 02:30:00,Dispatch_Bay,8.05,72.09
2025-10-01 02:30:00,Receiving_Zone,7.34,60.93
2025-10-01 02:30:00,Packaging_Section,21.06,50.12
2025-10-01 02:30:00,Maintenance_Room,19.5,60.0
2025-10-01 02:45:00,Frozen_Storage_A,-20.57,62.6
2025-10-01 02:45:00,Frozen_Storage_B,-21.53,43.23
2025-10-01 02:45:00,Chilled_Storage_A,1.83,47.02
2025-10-01 02:45:00,Chilled_Storage_B,-0.31,65.44
2025-10-01 02:45:00,Dispatch_Bay,5.22,48.36
2025-10-01 02:45:00,Receiving_Zone,8.1,54.73
2025-10-01 02:45:00,Packaging_Section,19.75,71.54
2025-10-01 02:45:00,Maintenance_Room,21.96,72.67
2025-10-01 03:00:00,Frozen_Storage_A,-22.34,42.91
2025-10-01 03:00:00,Frozen_Storage_B,-19.51,59.74
2025-10-01 03:00:00,Chilled_Storage_A,2.38,77.74
2025-10-01 03:00:00,Chilled_Storage_B,3.38,49.91
2025-10-01 03:00:00,Dispatch_Bay,6.86,57.49
2025-10-01 03:00:00,Receiving_Zone,7.51,47.7
2025-10-01 03:00:00,Packaging_Section,19.92,59.14
2025-10-01 03:00:00,Maintenance_Room,19.78,59.66
2025-10-01 03:15:00,Frozen_Storage_A,-21.84,54.12
2025-10-01 03:15:00,Frozen_Storage_B,-23.43,58.53
2025-10-01 03:15:00,Chilled_Storage_A,2.0,55.77
2025-10-01 03:15:00,Chilled_Storage_B,1.94,59.21
2025-10-01 03:15:00,Dispatch_Bay,7.76,45.08
2025-10-01 03:15:00,Receiving_Zone,8.48,54.85
2025-10-01 03:15:00,Packaging_Section,19.98,71.97
2025-10-01 03:15:00,Maintenance_Room,16.05,62.04
2025-10-01 03:30:00,Frozen_Storage_A,-23.1,79.28
2025-10-01 03:30:00,Frozen_Storage_B,-22.7,52.41
2025-10-01 03:30:00,Chilled_Storage_A,4.06,51.26
2025-10-01 03:30:00,Chilled_Storage_B,3.24,57.48
2025-10-01 03:30:00,Dispatch_Bay,8.28,79.76
2025-10-01 03:30:00,Receiving_Zone,7.77,45.8
2025-10-01 03:30:00,Packaging_Section,21.1,79.46
2025-10-01 03:30:00,Maintenance_Room,20.19,71.07
2025-10-01 03:45:00,Frozen_Storage_A,-22.27,60.52
2025-10-01 03:45:00,Frozen_Storage_B,-21.86,44.04
2025-10-01 03:45:00,Chilled_Storage_A,2.71,67.25
2025-10-01 03:45:00,Chilled_Storage_B,1.82,71.44
2025-10-01 03:45:00,Dispatch_Bay,6.12,77.43
2025-10-01 03:45:00,Receiving_Zone,8.96,51.45
2025-10-01 03:45:00,Packaging_Section,20.39,41.28
2025-10-01 03:45:00,Maintenance_Room,18.77,46.37
2025-10-01 04:00:00,Frozen_Storage_A,-20.89,52.55
2025-10-01 04:00:00,Frozen_Storage_B,-21.63,50.5
2025-10-01 04:00:00,Chilled_Storage_A,5.45,60.05
2025-10-01 04:00:00,Chilled_Storage_B,4.05,60.14
2025-10-01 04:00:00,Dispatch_Bay,4.75,70.32
2025-10-01 04:00:00,Receiving_Zone,5.84,51.9
2025-10-01 04:00:00,Packaging_Section,18.04,52.83
2025-10-01 04:00:00,Maintenance_Room,19.79,60.67
2025-10-01 04:15:00,Frozen_Storage_A,-21.31,61.14
2025-10-01 04:15:00,Frozen_Storage_B,-22.78,55.64
2025-10-01 04:15:00,Chilled_Storage_A,3.15,69.53
2025-10-01 04:15:00,Chilled_Storage_B,3.39,63.65
